ID,Label
1.jpg,Ringworm
2.jpg,Bacteria
3.jpg,Ringworm
4.jpg,Bacteria
5.jpg,Ringworm
6.jpg,Bacteria
7.jpg,Ringworm
8.jpg,Ringworm
9.jpg,Bacteria
10.jpg,Bacteria
11.jpg,Bacteria
12.jpg,Bacteria
13.jpg,Bacteria
14.jpg,Bacteria
15.jpg,Bacteria
16.jpg,Bacteria
17.jpg,Bacteria
18.jpg,Bacteria
19.jpg,Bacteria
20.jpg,Bacteria
21.jpg,Bacteria
22.jpg,Ringworm
23.jpg,Ringworm
24.jpg,Ringworm
25.jpg,Ringworm
26.jpg,Ringworm
27.jpg,Ringworm
28.jpg,Ringworm
29.jpg,Ringworm
30.jpg,Ringworm
31.jpg,Ringworm
32.jpg,Ringworm
33.jpg,Ringworm
34.jpg,Ringworm
35.jpg,Ringworm
36.jpg,Ringworm
37.jpg,Ringworm
38.jpg,Ringworm
39.jpg,Ringworm
40.jpg,Ringworm
41.jpg,Ringworm
42.jpg,Ringworm
43.jpg,Ringworm
44.jpg,Ringworm
45.jpg,Ringworm
46.jpg,Ringworm
47.jpg,Bacteria
48.jpg,Bacteria
49.jpg,Bacteria
50.jpg,Bacteria
51.jpg,Bacteria
52.jpg,Bacteria
53.jpg,Bacteria
54.jpg,Bacteria
55.jpg,Bacteria
56.jpg,Bacteria
57.jpg,Bacteria
58.jpg,Bacteria
59.jpg,Bacteria
60.jpg,Bacteria
61.jpg,Bacteria
62.jpg,Bacteria
63.jpg,Bacteria
64.jpg,Bacteria
65.jpg,Bacteria
66.jpg,Bacteria
67.jpg,Bacteria
68.jpg,Bacteria
69.jpg,Bacteria
70.jpg,Bacteria
71.jpg,Canine Distemper
72.jpg,Canine Distemper
73.jpg,Canine Distemper
74.jpg,Canine Distemper
75.jpg,Canine Distemper
76.jpg,Canine Distemper
77.jpg,Canine Distemper
78.jpg,Canine Distemper
79.jpg,Canine Distemper
80.jpg,Canine Distemper
81.jpg,Canine Distemper
82.jpg,Canine Distemper
83.jpg,Canine Distemper
84.jpg,Canine Distemper
85.jpg,Canine Distemper
86.jpg,Canine Distemper
87.jpg,Canine Distemper
88.jpg,Canine Distemper
89.jpg,Canine Distemper
90.jpg,Canine Distemper
91.jpg,Canine Distemper
92.jpg,Canine Distemper
93.jpg,Canine Distemper
94.jpg,Canine Distemper
95.jpg,Canine Distemper
96.jpg,Canine Distemper
97.jpg,Canine Distemper
98.jpg,Canine Distemper
99.jpg,Canine Distemper
100.jpg,Canine Distemper
101.jpg,Canine Distemper
102.jpg,Canine Distemper
103.jpg,Canine Distemper
104.jpg,Canine Distemper
105.jpg,Canine Distemper
106.jpg,Canine Distemper
107.jpg,Canine Distemper
108.jpg,Canine Distemper
109.jpg,Canine Distemper
110.jpg,Canine Distemper
111.jpg,Canine Distemper
112.jpg,Canine Distemper
113.jpg,Canine Distemper
114.jpg,Canine Distemper
115.jpg,Canine Distemper
116.jpg,Canine Distemper
117.jpg,Canine Distemper
118.jpg,Canine Distemper
119.jpg,Canine Distemper
120.jpg,Canine Distemper
121.jpg,Canine Distemper
122.jpg,Canine Distemper
123.jpg,Canine Distemper
124.jpg,Canine Distemper
125.jpg,Feline Dental
126.jpg,Feline Dental
127.jpg,Feline Dental
128.jpg,Feline Dental
129.jpg,Feline Dental
130.jpg,Feline Dental
131.jpg,Feline Dental
132.jpg,Feline Dental
133.jpg,Feline Dental
134.jpg,Feline Dental
135.jpg,Feline Dental
136.jpg,Feline Dental
137.jpg,Feline Dental
138.jpg,Feline Dental
139.jpg,Feline Dental
140.jpg,Feline Dental
141.jpg,Feline Dental
142.jpg,Feline Dental
143.jpg,Feline Dental
144.jpg,Feline Dental
145.jpg,Feline Dental
146.jpg,Feline Dental
147.jpg,Feline Dental
148.jpg,Feline Dental
149.jpg,Feline Dental
150.jpg,Feline Dental
151.jpg,Feline Dental
152.jpg,Feline Dental
153.jpg,Feline Dental
